Item,Description,Type,Quantity On Hand,Preferred Vendor,Barcode,Barcode Image
01-12907-001-00,Nose Plate,Inventory Part,1,STOUGHTON PARTS,01-12907-001-00,BC:01-12907-001-00
01-12992-006-00,Post Nose P/D,Inventory Part,2,STOUGHTON PARTS,01-12992-006-00,BC:01-12992-006-00
01-12993-000-00,Air Line Cover,Inventory Part,,STOUGHTON PARTS,01-12993-000-00,BC:01-12993-000-00
01-12994-XXX-00,Panel Radius White,Inventory Part,1,STOUGHTON PARTS,01-12994-XXX-00,BC:01-12994-XXX-00
01-12994-XXX-01,Corner Radius PP Black,Inventory Part,2,,01-12994-XXX-01,BC:01-12994-XXX-01
01-12994-XXX-04,Panel Corner Radius SS,Inventory Part,,STOUGHTON PARTS,01-12994-XXX-04,BC:01-12994-XXX-04
01-12994-XXX-10,Corner Radius UPS Gray,Inventory Part,,,01-12994-XXX-10,BC:01-12994-XXX-10
01-12998-006-00,Inner Radius,Inventory Part,0,STOUGHTON PARTS,01-12998-006-00,BC:01-12998-006-00
01-13004-001-00,Angle Bulkhead,Inventory Part,1,,01-13004-001-00,BC:01-13004-001-00
01-13208-015-02,Post Side P/D Alum,Inventory Part,2,,01-13208-015-02,BC:01-13208-015-02
01-15617-100-00,Mounting Bracket L/G,Inventory Part,,,01-15617-100-00,BC:01-15617-100-00
01-15617-200-00,Mounting Bracket LG,Inventory Part,0,,01-15617-200-00,BC:01-15617-200-00
01-15784-000-00,Threshold Plate 22-15/16X96,Inventory Part,2,STOUGHTON PARTS,01-15784-000-00,BC:01-15784-000-00
01-15792-000-00,Recessed Pan Alum,Inventory Part,,STOUGHTON PARTS,01-15792-000-00,BC:01-15792-000-00
01-16546-000-00,Corner Cap,Inventory Part,,STOUGHTON PARTS,01-16546-000-00,BC:01-16546-000-00
01-18090-000-00,Corner Protector,Inventory Part,0,STOUGHTON PARTS,01-18090-000-00,BC:01-18090-000-00
01-19642-100-00,Corner Radius R/S,Inventory Part,,,01-19642-100-00,BC:01-19642-100-00
01-19643-000-00,Nose Post UPS,Inventory Part,,,01-19643-000-00,BC:01-19643-000-00
01-19683-000-00,Radius UPS Gray,Inventory Part,,,01-19683-000-00,BC:01-19683-000-00
01-19798-006-00,"Corner Liner 107.25""",Inventory Part,0,STOUGHTON PARTS,01-19798-006-00,BC:01-19798-006-00
01-19802-X18-05,Side Panel Amazon,Inventory Part,0,STOUGHTON PARTS,01-19802-X18-05,BC:01-19802-X18-05
01-19802-XX6-05,Side Panel Blue,Inventory Part,0,STOUGHTON PARTS,01-19802-XX6-05,BC:01-19802-XX6-05
01-19981-006-00,Nose Post,Inventory Part,0,,01-19981-006-00,BC:01-19981-006-00
01-20165-100-00,Radius Road Side,Inventory Part,,,01-20165-100-00,BC:01-20165-100-00
01-20835-106-00,Nose Post Z R/S,Inventory Part,1,STOUGHTON PARTS,01-20835-106-00,BC:01-20835-106-00
01-20835-206-00,Nose Post Z C/S,Inventory Part,1,STOUGHTON PARTS,01-20835-206-00,BC:01-20835-206-00
01-20838-106-00,Corner Radius R/S,Inventory Part,1,STOUGHTON PARTS,01-20838-106-00,BC:01-20838-106-00
01-20838-206-00,Radius Panel C/S,Inventory Part,2,STOUGHTON PARTS,01-20838-206-00,BC:01-20838-206-00
01-21117-006-00,Outer Splice Plate..04-25967-003-00,Inventory Part,0,STOUGHTON PARTS,01-21117-006-00,BC:01-21117-006-00
01-21122-006-00,Splice Plate Side Inner,Inventory Part,3,STOUGHTON PARTS,01-21122-006-00,BC:01-21122-006-00
01-21756-107-00,Radius Road Side,Inventory Part,,,01-21756-107-00,BC:01-21756-107-00
01-21756-207-00,Radius Curb Side,Inventory Part,,,01-21756-207-00,BC:01-21756-207-00
01-22128-000-00,Bracket L/G,Inventory Part,,STOUGHTON PARTS,01-22128-000-00,BC:01-22128-000-00
01-22167-000-00,Logistic Plate Doubler 2X66.75,Inventory Part,0,STOUGHTON PARTS,01-22167-000-00,BC:01-22167-000-00
01-22349-000-00,Channel Extention,Inventory Part,12,STOUGHTON PARTS,01-22349-000-00,BC:01-22349-000-00
01-22503-XX6-00,Panel GBond White,Inventory Part,0,STOUGHTON PARTS,01-22503-XX6-00,BC:01-22503-XX6-00
01-22503-XX6-02,"Side Panel GBond 109"" Gray",Inventory Part,,STOUGHTON PARTS,01-22503-XX6-02,BC:01-22503-XX6-02
01-22583-106-00,Corner Radius R/S,Inventory Part,0,STOUGHTON PARTS,01-22583-106-00,BC:01-22583-106-00
01-22583-206-00,Corner Radius C/S,Inventory Part,0,STOUGHTON PARTS,01-22583-206-00,BC:01-22583-206-00
01-23264-006-00,Splice Plate Inner 14 Slot,Inventory Part,,,01-23264-006-00,BC:01-23264-006-00
01-24035-000-00,Channel Attachment,Inventory Part,,,01-24035-000-00,BC:01-24035-000-00
01-24558-006-00,Side Panel,Inventory Part,0,STOUGHTON PARTS,01-24558-006-00,BC:01-24558-006-00
01-24593-000-00,Nose Post,Inventory Part,,,01-24593-000-00,BC:01-24593-000-00
01-24718-107-00,Corner Panel R/S,Inventory Part,,,01-24718-107-00,BC:01-24718-107-00
01-24718-207-00,Corner Panel CS,Inventory Part,,,01-24718-207-00,BC:01-24718-207-00
01-25083-XX1-01,Side Panel 040X49X110W,Inventory Part,,,01-25083-XX1-01,BC:01-25083-XX1-01
01-25244-100-00,Corner Liner RS,Inventory Part,,,01-25244-100-00,BC:01-25244-100-00
01-25251-200-00,Wing Bracket CS,Inventory Part,,,01-25251-200-00,BC:01-25251-200-00
01-25447-106-00,Side Panel RDSD,Inventory Part,0,STOUGHTON PARTS,01-25447-106-00,BC:01-25447-106-00
01-25448-006-00,Side Panel,Inventory Part,0,STOUGHTON PARTS,01-25448-006-00,BC:01-25448-006-00
01-25949-101-00,Inner Radius Road Side,Inventory Part,,,01-25949-101-00,BC:01-25949-101-00
01-25992-001-00,Liner Panel,Inventory Part,,,01-25992-001-00,BC:01-25992-001-00
01-25992-002-00,Liner Panel 22.59X78,Inventory Part,,,01-25992-002-00,BC:01-25992-002-00
01-26020-100-00,Inner Radius Road Side,Inventory Part,,,01-26020-100-00,BC:01-26020-100-00
01-26020-200-00,Inner Radius C/S,Inventory Part,,,01-26020-200-00,BC:01-26020-200-00
01-26416-106-00,Corner Radius Road Side,Inventory Part,0,,01-26416-106-00,BC:01-26416-106-00
01-26416-106-15,Radius Road Side Blue,Inventory Part,0,,01-26416-106-15,BC:01-26416-106-15
01-26416-206-00,Radius White C/S,Inventory Part,1,,01-26416-206-00,BC:01-26416-206-00
01-26416-206-06,Corner Radius C/S,Inventory Part,,,01-26416-206-06,BC:01-26416-206-06
01-26416-206-15,Radius Blue Curb Side,Inventory Part,,,01-26416-206-15,BC:01-26416-206-15
01-26946-200-00,Angle Landing Gear Mounting,Inventory Part,0,STOUGHTON PARTS,01-26946-200-00,BC:01-26946-200-00
01-27249-106-00,Radius Road side,Inventory Part,0,,01-27249-106-00,BC:01-27249-106-00
01-27249-206-00,Radius C/S,Inventory Part,,,01-27249-206-00,BC:01-27249-206-00
01-27327-000-00,Support Mounting Bracket,Inventory Part,,,01-27327-000-00,BC:01-27327-000-00
01-27614-006-00,Side Panel 15.38X109,Inventory Part,,,01-27614-006-00,BC:01-27614-006-00
01-28045-012-10,Threshold Plate,Inventory Part,0,STOUGHTON PARTS,01-28045-012-10,BC:01-28045-012-10
01-28889-206-00,"CORNER RADIUS, CURBSIDE",Inventory Part,0,STOUGHTON PARTS,01-28889-206-00,BC:01-28889-206-00
01-28911-000-00,"FRONT CORNER CASTING, PUNCHED",Inventory Part,1,STOUGHTON PARTS,01-28911-000-00,BC:01-28911-000-00
010-910-001,"Alum Cross Member 4""X102",Inventory Part,,,010-910-001,BC:010-910-001
010-910-002,"Alum Cross Member 5""",Inventory Part,,,010-910-002,BC:010-910-002
1020,Vert Connector Morgan GVSD,Inventory Part,,,1020,BC:01020
10549,"Fender Rear Alum 3 Rib Up 96""",Inventory Part,0,HY TEC,10549,BC:010549
011-00098,Brace Lug PEN02-10-A,Inventory Part,,,011-00098,BC:011-00098
011-00100,Brace Lug L PEN02-13A,Inventory Part,0,FLEET ENGINEERS,011-00100,BC:011-00100
011-00136,Hardware Kit Axle,Inventory Part,21,FLEET ENGINEERS,011-00136,BC:011-00136
012-00003,"Cross Shaft 3PC Adj 53""-71""",Inventory Part,7,FLEET ENGINEERS,012-00003,BC:012-00003
012-00011,Adjust A Shaft End,Inventory Part,,FLEET ENGINEERS,012-00011,BC:012-00011
012-00545,Brace Lug Round Leg,Inventory Part,6,FLEET ENGINEERS,012-00545,BC:012-00545
013-00198,Axle Housing,Inventory Part,12,AURORAPARTS,013-00198,BC:013-00198
013-00426,"Crank Horz 7.5""",Inventory Part,2,FLEET ENGINEERS,013-00426,BC:013-00426
013-00427,"Crank Handle 11.5"" Horz",Inventory Part,11,FLEET ENGINEERS,013-00427,BC:013-00427
013-00429,"Crank Handle 15.875"" Horz",Inventory Part,10,FLEET ENGINEERS,013-00429,BC:013-00429
013-00436,"Crank Handle 7.5"" Vert",Inventory Part,,FLEET ENGINEERS,013-00436,BC:013-00436
013-00440,"Crank Vert 20""",Inventory Part,5,FLEET ENGINEERS,013-00440,BC:013-00440
013-00496,Crank Handle Removable,Inventory Part,,FLEET ENGINEERS,013-00496,BC:013-00496
013-00991,Brace 2pc Adj 26-41,Inventory Part,8,FLEET ENGINEERS,013-00991,BC:013-00991
013-00993,Brace Adj 2pc 58-72,Inventory Part,4,FLEET ENGINEERS,013-00993,BC:013-00993
015-906,"Door Seal 1/2""",Inventory Part,0,FLEET WAREHOUSE,015-906,BC:015-906
015-907-001,"Door Seal Generic 3/4""",Inventory Part,0,FLEET WAREHOUSE,015-907-001,BC:015-907-001
015-908,"Door Seal 1""",Inventory Part,,FLEET WAREHOUSE,015-908,BC:015-908
015-913-001,Door Blank,Inventory Part,,FLEET WAREHOUSE,015-913-001,BC:015-913-001
0151002559N,Flap Bracket Universal,Inventory Part,1,SUPREMECORP,0151002559N,BC:0151002559N
02-04079-114-00,Door Mullion,Inventory Part,1,STOUGHTON PARTS,02-04079-114-00,BC:02-04079-114-00
02-04793-110-00,Post Alum Side,Inventory Part,7,STOUGHTON PARTS,02-04793-110-00,BC:02-04793-110-00
02-04795-525-25,Top Rail,Inventory Part,,STOUGHTON PARTS,02-04795-525-25,BC:02-04795-525-25
02-06388-000-12,Top Rail Side Per Ft,Inventory Part,11,STOUGHTON PARTS,02-06388-000-12,BC:02-06388-000-12
02-06388-083-50,Nose Rail,Inventory Part,1,STOUGHTON PARTS,02-06388-083-50,BC:02-06388-083-50
02-06388-091-50,Nose Rail,Inventory Part,1,STOUGHTON PARTS,02-06388-091-50,BC:02-06388-091-50
02-06388-620-75,"Side Top Rail 620.75""",Inventory Part,,STOUGHTON PARTS,02-06388-620-75,BC:02-06388-620-75
02-06626-114-00,Alum Door Edge,Inventory Part,3,STOUGHTON PARTS,02-06626-114-00,BC:02-06626-114-00
02-06831-000-12,Upper Rail DSV PER FT,Inventory Part,,,02-06831-000-12,BC:02-06831-000-12
02-06831-013-44,Top Rail Between Caps UPS,Inventory Part,1,STOUGHTON PARTS,02-06831-013-44,BC:02-06831-013-44
02-06831-074-44,Nose Rail,Inventory Part,,STOUGHTON PARTS,02-06831-074-44,BC:02-06831-074-44
02-09727-000-12,Bottom Rail Cut,Inventory Part,6,,02-09727-000-12,BC:02-09727-000-12
02-09727-620-75,Bottom Rail,Inventory Part,,,02-09727-620-75,BC:02-09727-620-75
02-11323-321-25,Bottom Rail,Inventory Part,,,02-11323-321-25,BC:02-11323-321-25
02-16545-000-12,Top Rail Cut,Inventory Part,,,02-16545-000-12,BC:02-16545-000-12
02-18804-613-50,Rub Rail  (WABE0766130),Inventory Part,0,STOUGHTON PARTS,02-18804-613-50,BC:02-18804-613-50
02-19468-000-12,Bottom Rail Cut,Inventory Part,,,02-19468-000-12,BC:02-19468-000-12
02-19468-408-00,Lower Rail 34'......,Inventory Part,0,STOUGHTON PARTS,02-19468-408-00,BC:02-19468-408-00
02-19468-621-25,Bottom Rail,Inventory Part,,,02-19468-621-25,BC:02-19468-621-25
02-19469-321-25,Lower Rail,Inventory Part,0,STOUGHTON PARTS,02-19469-321-25,BC:02-19469-321-25
02-20066-322-38,"Rub Rail 322.38""",Inventory Part,,,02-20066-322-38,BC:02-20066-322-38
02-20498-000-12,Bottom Rail Cut,Inventory Part,,,02-20498-000-12,BC:02-20498-000-12
02-20498-408-00,Bottom Rail 34',Inventory Part,,,02-20498-408-00,BC:02-20498-408-00
02-20498-621-25,Bottom Rail,Inventory Part,,,02-20498-621-25,BC:02-20498-621-25
02-20572-000-12,Bottom Rail Cut,Inventory Part,,STOUGHTON PARTS,02-20572-000-12,BC:02-20572-000-12
02-20573-204-00,Top Rail 17',Inventory Part,0,STOUGHTON PARTS,02-20573-204-00,BC:02-20573-204-00
02-20573-623-50,Top Rail,Inventory Part,,,02-20573-623-50,BC:02-20573-623-50
02-22153-063-88,Top Rail 5.33',Inventory Part,,,02-22153-063-88,BC:02-22153-063-88
02-22626-204-00,Top Rail 17',Inventory Part,,,02-22626-204-00,BC:02-22626-204-00
